Category,Sub-Category,Product Name,similar_products,similar_products_vectors,top_similar_products,sku
Office Supplies,Binders,Wilson Jones Custom Binder Spines & Labels,Office Supplies Binders Wilson Jones Custom Binder Spines & Labels,"[-0.04546133 -0.13949645 -0.111138   -0.5350921   0.26873213 -0.14596468
 -0.05382072  0.11503556  0.01229868  0.01273733  0.226152   -0.2662407
  0.21087644  0.3387931   0.14309633  0.02468653  0.39545333  0.00518456
  0.2038711  -0.25989044  0.09213001 -0.17133145 -0.00146166 -0.02394833
  0.04018076  0.18248886 -0.12663023 -0.5318344   0.00911478  0.14089444
  0.20671865  0.11046734 -0.03405867  0.08902556 -0.16403621  0.3441878
  0.1151878   0.20074378  0.18054189 -0.11700645  0.09101667 -0.12939665
 -0.0258089  -0.169413   -0.19025557 -0.10129821 -0.13714121 -0.27970934
  0.175533   -0.21641889  0.17381768 -0.17428787 -0.057321    0.3258232
  0.04852778 -1.4093056  -0.20247567  0.02131667  0.8816645   0.3901584
  0.38227424  0.17161189  0.0170256   0.32732746  0.3523227  -0.32258335
  0.55524564  0.2501467   0.19729143 -0.07405522 -0.07117508  0.4250901
 -0.17677733 -0.1354248   0.21183981  0.09765145  0.07861544  0.03013111
 -0.43238002  0.02163067  0.10329555  0.08959334 -0.4057461  -0.06122988
 -0.5054778  -0.04202889  0.18580957 -0.212705   -0.07518794 -0.04140333
 -0.03762078 -0.14010382  0.10724343 -0.09007111  0.10360889  0.08113123
 -0.17175001 -0.24021557  0.3062322   0.11411844]","['sku0799', 'sku0545', 'sku1055', 'sku0995', 'sku0987']",sku0334
Office Supplies,Binders,Storex Dura Pro Binders,Office Supplies Binders Storex Dura Pro Binders,"[-1.46191999e-01 -1.41039997e-01 -1.15133338e-01 -5.17958164e-01
  2.12782145e-01 -2.30053309e-02  5.22800051e-02  2.02256635e-01
  2.14096010e-01  4.95862156e-01  3.28454971e-02 -1.94656506e-01
  3.27009648e-01  2.77176648e-01  4.35094945e-02 -6.19166680e-02
  3.85442972e-01 -3.65783125e-01  2.98521668e-01 -1.97418332e-01
  9.80868340e-02 -7.13613406e-02  2.25720014e-02  7.53133371e-02
 -9.26733389e-02 -9.04328227e-02 -3.28020006e-02 -2.93059975e-01
  5.02450252e-03  2.99268335e-01  1.14973836e-01 -1.58311650e-01
  5.60848303e-02  1.40310004e-01 -6.57770038e-02  3.02288502e-01
  2.22215340e-01  3.04471821e-01  9.74966511e-02 -2.06596684e-02
  5.50033338e-02 -3.07622343e-01  2.50883345e-02 -3.20098311e-01
 -1.51175007e-01 -1.89264670e-01 -1.64763317e-01 -1.53053328e-01
 -3.00011840e-02 -4.96675551e-04 -1.80912986e-01 -2.61610001e-01
 -3.83315049e-02  4.08700794e-01 -2.50499863e-02 -9.48491752e-01
 -1.76195338e-01  9.42783281e-02  8.80731642e-01  2.94437677e-01
  1.37771666e-01 -8.66466761e-02 -6.32032603e-02  3.14614326e-01
  3.20029646e-01 -1.60338342e-01  6.23404980e-01  1.51759341e-01
  1.57633990e-01 -4.95795012e-02  2.13243380e-01  1.98020160e-01
 -2.04028502e-01 -1.93933502e-01  4.50643338e-02  1.48948669e-01
  1.55689314e-01  5.84699959e-02 -5.54883361e-01  2.15653822e-01
  5.70631683e-01 -9.90933254e-02 -5.98357856e-01 -1.06403328e-01
 -2.89751619e-01  2.76885014e-02  1.96332514e-01 -1.29125997e-01
  1.13053106e-01 -8.05416703e-02  3.19170028e-01  1.19517863e-01
  6.87451661e-02  1.20778330e-01  1.88381672e-01  4.38600145e-02
  1.14340000e-01  6.25525042e-02  4.51274961e-01  4.11413878e-01]","['sku0352', 'sku0990', 'sku1198', 'sku1460', 'sku0095']",sku0335
Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,Technology Copiers Hewlett Packard LaserJet 3310 Copier,"[ 0.04446833  0.1699233  -0.2829567   0.09858484  0.11919567 -0.5085704
  0.7221933  -0.56581134  0.31336668 -0.062575    0.24604267 -0.44391784
  0.11977985 -0.3141735  -0.4058617  -0.01145501  0.25882998  0.19041334
  0.77212    -0.1193985  -0.59616834 -0.17764334  0.18168168  0.79019666
  0.36937332 -0.17580815  0.44019833 -0.09747833 -0.5495483  -0.49548504
  0.45582166  0.5768666  -0.45582    -0.282024   -0.27761498  0.49233833
  0.07909901 -0.4026333   0.7224017  -0.26664498  0.15010333 -0.594145
 -0.61929    -0.231564   -0.91480494  0.45447502  0.26647     0.1335565
  0.48965168 -0.09437066 -0.11897848  0.09639666 -0.624456    0.36173868
 -0.08640667 -0.30911663 -0.21000652  0.41698766  0.56430435 -0.5299817
  0.053703   -0.31042    -0.5495567   0.4928533  -0.66499835 -0.36710998
  0.4777443   0.2750155  -0.00789983  0.66831166  0.18588285  0.29195434
 -0.09976834 -0.3057973  -0.137345   -0.21525669  0.43540168 -0.05405
 -0.41528782  0.089647    0.366125   -0.01625184 -0.17882834  0.60155886
 -0.93212837 -0.3622695   0.64645666 -0.191759    0.40357515 -0.48637548
  0.39363682  0.6816129   0.45873165  0.324975   -0.128729   -0.15528618
  0.2920437  -0.33675835  0.407648    0.02239051]","['sku0616', 'sku1375', 'sku0382', 'sku1280', 'sku0457']",sku0336
Office Supplies,Binders,Avery Non-Stick Binders,Office Supplies Binders Avery Non-Stick Binders,"[-6.08986728e-02  1.16383443e-02 -4.23395008e-01 -4.44966555e-01
  1.52706653e-01 -1.77228987e-01 -6.42706677e-02  2.80562311e-01
  1.24376021e-01  3.98232192e-01  1.97666332e-01 -2.54078180e-01
  1.19153835e-01  1.47109985e-01 -6.55516759e-02 -7.53616691e-02
  2.96725005e-01 -2.16031492e-01  3.10314983e-01 -4.78495002e-01
 -2.74673492e-01  9.77460071e-02 -7.82908350e-02 -4.87999618e-03
  9.36183333e-02 -8.37488547e-02 -4.32700058e-03 -2.70198673e-01
 -4.36243296e-01  1.74151659e-01  4.02205028e-02 -6.81016669e-02
  5.07995486e-04  7.38200024e-02 -2.88040012e-01  3.87249976e-01
  4.77621675e-01  3.56083483e-01  2.38198325e-01 -6.61406666e-02
  2.09555015e-01 -3.27364177e-01 -2.48548701e-01 -2.11579993e-01
  1.36083320e-01 -3.89339685e-01 -2.28675008e-01 -4.01489973e-01
 -2.22896785e-02  3.56625915e-02  1.29500329e-01 -3.09891671e-01
 -3.25931646e-02  5.17588317e-01  1.72456667e-01 -9.14205074e-01
 -1.33526847e-01  8.97449926e-02  6.22649074e-01  1.67029321e-01
  9.02416706e-02  1.69255003e-01 -1.03505261e-01  6.08891666e-01
  2.96223313e-01 -3.09913307e-01  6.99553311e-01  1.85670018e-01
 -2.18096003e-01 -1.09374501e-01 -1.19105808e-01  6.93751648e-02
  9.45690051e-02  3.74536626e-02  2.15416849e-01  1.97905004e-01
  1.36259980e-02 -4.88383323e-02 -1.95806682e-01  2.96040028e-01
  3.28413337e-01 -2.28537157e-01 -9.16822851e-01  2.54368335e-01
  1.02066742e-02 -4.92954962e-02  3.86311650e-01 -6.75498927e-03
  1.09893106e-01 -3.86989981e-01  3.13333306e-03 -5.35618030e-02
  3.84220153e-01 -2.99791664e-01  8.97100195e-02 -7.95316622e-02
  1.34131491e-01 -1.76310003e-01  4.99350019e-02  2.19756678e-01]","['sku0352', 'sku1536', 'sku1460', 'sku0858', 'sku0177']",sku0337
Office Supplies,Binders,Tuff Stuff Recycled Round Ring Binders,Office Supplies Binders Tuff Stuff Recycled Round Ring Binders,"[-1.37791991e-01  1.41829893e-01  8.72214659e-05 -6.52752578e-01
  1.70249641e-01 -2.44031176e-02 -5.01787663e-02  3.28977764e-01
  1.31372333e-01  2.21953094e-01  2.63717622e-01  6.38776342e-04
  2.42617801e-02  4.67606127e-01  1.68629661e-01 -1.28314449e-02
  2.32719481e-01  1.75571218e-01  3.19454342e-01 -3.79571080e-01
  9.60045680e-02  5.58002735e-04 -1.88055441e-01 -6.44876584e-02
  1.43128887e-01  3.02757826e-02  2.58836448e-01 -1.66771099e-01
 -6.25222269e-03  1.12078890e-01 -5.01424409e-02 -3.75633277e-02
  1.64633334e-01 -1.28513336e-01 -4.30111587e-03  2.85105556e-01
 -1.02874905e-01  9.83060002e-02  4.78888862e-02 -5.99942207e-02
  1.25865668e-01 -3.46043110e-01 -4.32655476e-02 -4.50830877e-01
 -1.44603327e-01 -1.18154235e-01 -2.43398979e-01 -1.66365549e-01
  4.42836583e-02 -1.67334020e-01  1.88202113e-02 -1.42905772e-01
  8.96401107e-02  4.53202873e-01  7.40051121e-02 -1.19345295e+00
 -3.64823580e-01  3.73877794e-01  9.04352069e-01  2.46019542e-01
  3.60470079e-02  3.28212231e-01 -1.93071857e-01  3.44775468e-01
  3.86794448e-01 -2.84584433e-01  6.80964410e-01  9.37544554e-02
  1.51433781e-01 -3.97335202e-01  5.69173554e-03  4.27655689e-03
  4.51588854e-02  2.70944461e-02  2.77956650e-02  8.91755670e-02
  1.04062662e-01  4.48488966e-02 -3.68419260e-01  4.17117000e-01
  3.35245132e-01  6.83307871e-02 -5.91363013e-01  9.03731063e-02
 -4.38177764e-01 -7.85306618e-02  3.58423404e-02 -8.61862227e-02
 -8.71934742e-02  9.17834342e-02 -1.68300583e-03 -4.53125387e-02
 -3.72692198e-02 -6.52434528e-02  2.41875574e-01 -2.57160008e-01
 -1.35600016e-01 -2.95044482e-02  3.37274432e-01  2.09859133e-01]","['sku0529', 'sku0756', 'sku0901', 'sku0654', 'sku0351']",sku0338
Furniture,Tables,Hon 5100 Series Wood Tables,Furniture Tables Hon 5100 Series Wood Tables,"[-0.50677115  0.45644498  0.09788457 -0.0066043   0.107135   -0.16476782
 -0.06007167  0.2072625  -0.27654752 -0.28970668  0.4242343  -0.48735383
  0.33828685  0.46027645 -0.16475101  0.40394998 -0.09315611  0.25797865
 -0.13502999 -0.20765668  0.138005   -0.07113682  0.4298992  -0.22221833
  0.6221166  -0.304675   -0.20170169 -0.28012213 -0.49094334 -0.3366417
 -0.1598785   0.17458801  0.00325334 -0.11139583  0.04472264  0.53271
 -0.15789834  0.03306833  0.07394666 -0.5957606  -0.00523694 -0.31160167
 -0.0982275  -0.36323997  0.0438649   0.07341667 -0.6086842  -0.01773939
  0.0546715  -0.5286313  -0.04989001 -0.2760283  -0.04104     0.61148834
 -0.212914   -1.5011266  -0.34723115  0.3286455   0.67750835  0.3153917
 -0.24288332  0.32906    -0.2840195   0.21652497  0.23236603 -0.26924834
  0.5539105   0.50057054 -0.1127065  -0.29652    -0.2394799   0.25025633
  0.3256233  -0.31463632  0.10613     0.32639948 -0.1184525   0.08440167
 -0.32203498  0.10327333  0.25495666  0.1986825  -0.20255667  0.08254668
 -0.49117652 -0.2711     -0.2820783  -0.500415    0.3626933  -0.07136717
  0.04878632 -0.1758383   0.28955737  0.4251883  -0.2258182  -0.33105734
 -0.28083834 -0.229756    1.0196756  -0.13868785]","['sku0820', 'sku1218', 'sku1013', 'sku1105', 'sku1285']",sku0339
Office Supplies,Fasteners,"OIC Binder Clips, Mini, 1/4"" Capacity, Black","Office Supplies Fasteners OIC Binder Clips, Mini, 1/4"" Capacity, Black","[-0.14128132  0.09815821  0.05646911 -0.43081605  0.23528644 -0.23519765
 -0.08365443  0.4077861   0.09478716  0.17996734 -0.043148   -0.42953765
  0.2867163   0.21883623  0.23178679  0.08724888  0.14279856 -0.06895322
  0.19453268 -0.5803634   0.01848344 -0.20549689 -0.19159155 -0.11258589
  0.1948422  -0.15050223  0.17998247 -0.14912412  0.01822989  0.08515045
  0.004962    0.13574256 -0.11098891 -0.04827546 -0.0202209   0.34365276
  0.1461405   0.28488111  0.1659568   0.03166045 -0.06282112 -0.30804566
  0.02046111 -0.14372799  0.00609132 -0.20682989  0.02728721 -0.222623
 -0.17200801 -0.19401477 -0.26469502 -0.0545329   0.00865285  0.5657088
 -0.0591381  -1.1294756  -0.21466455  0.02816977  1.1813956   0.1238371
  0.12461778  0.06551222 -0.0620487   0.20438154  0.16643055 -0.03830912
  0.29598835  0.04236667  0.23260185 -0.056458    0.39864695 -0.05761174
 -0.06231889 -0.12445578  0.0794769   0.26660335 -0.02626856  0.07699878
 -0.39571145  0.20677619  0.19131668 -0.08125685 -0.12639934  0.15900533
 -0.64134336 -0.08650923  0.26404333 -0.18583399  0.09090192  0.00945299
  0.10478166  0.13198382  0.07624634 -0.31478623  0.00206468 -0.15772812
  0.02015111 -0.19098733  0.43085444  0.16042754]","['sku0111', 'sku0205', 'sku0295', 'sku0692', 'sku1043']",sku0340
Office Supplies,Art,Newell 314,Office Supplies Art Newell 314,"[ 0.066637    0.296704    0.00479749 -0.14105341  0.3857     -0.26712522
 -0.09071501  0.320835    0.0573525   0.17051825  0.14193317 -0.39685282
 -0.01634251  0.2683705  -0.08771575  0.058095    0.3861025   0.16160525
 -0.15355751  0.09095752  0.06048775 -0.0464475   0.17742376 -0.14380752
 -0.09274501 -0.233127   -0.064135   -0.57916    -0.19512574  0.04836249
 -0.18519676  0.153115   -0.1877975   0.20165    -0.3243125   0.3170825
 -0.08231501  0.10619525  0.0493875  -0.4264425   0.27254426 -0.5458725
 -0.214645   -0.28870624  0.342656    0.11263551 -0.17495748 -0.465275
  0.337353   -0.18821487  0.24086499 -0.27320752 -0.034137    0.42757624
 -0.08998025 -1.5966225  -0.07962025 -0.33284     1.099155    0.166584
  0.10308     0.18829998 -0.10382725  0.26986575  0.31536752 -0.12942
  0.348035    0.2868775   0.27074248  0.30510825  0.040041    0.29461774
 -0.10143001 -0.348185    0.1986725  -0.2457775   0.28961247  0.413475
 -0.9236575   0.07025325  0.3081715   0.2568225  -0.38562924  0.19466749
 -0.72170275  0.0623705  -0.20248249 -0.039799   -0.085419   -0.5325575
  0.1990575  -0.29435062  0.21898276  0.11239251 -0.32890502  0.00806801
  0.01465748 -0.2487      0.3991225   0.27387327]","['sku0564', 'sku1245', 'sku1621', 'sku0687', 'sku0672']",sku0341
Technology,Phones,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White","Technology Phones Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White","[-9.44151059e-02  3.51171106e-01  2.03818336e-01 -6.19529933e-02
  9.90406647e-02  2.09783345e-01  8.62504691e-02 -9.37208533e-02
  1.47966892e-01  1.55011430e-01  2.28922099e-01 -2.89808124e-01
 -4.14113291e-02 -1.84372216e-01  2.65113324e-01  9.11197811e-02
  2.57091433e-01  3.96270096e-01 -1.11815006e-01 -4.75177765e-02
 -2.25752220e-01 -1.08862795e-01  3.24418843e-02  1.32330239e-01
  4.77126658e-01  6.88966587e-02  2.75600910e-01 -1.03166662e-01
  4.63333388e-04 -8.15023333e-02  3.51263136e-01  6.16100550e-01
 -6.97999075e-02  3.40692580e-01  3.23819458e-01  1.41795889e-01
 -7.19646811e-02  1.15718231e-01  4.15497243e-01  5.60700558e-02
  9.68477577e-02 -8.03753316e-01 -3.83713320e-02 -2.38360003e-01
 -3.72837454e-01 -2.38757446e-01 -1.86913326e-01  5.00465631e-02
  1.44881085e-01 -2.61044413e-01  1.54783428e-01  4.29111049e-02
  2.60215998e-01  6.94732189e-01 -7.21514523e-02 -1.99295557e+00
 -2.07075536e-01  7.00417757e-02  1.42083561e+00  1.72590002e-01
 -8.11755508e-02  3.28487992e-01 -2.45538533e-01  4.41646576e-02
  3.48086655e-01  7.11414441e-02  2.86788106e-01  3.69871438e-01
  6.68864489e-01  1.77278668e-01 -3.51548016e-01  2.19259322e-01
 -2.59108901e-01 -1.77805558e-01  3.04437786e-01  1.43461108e-01
  1.82131112e-01  9.22112167e-02 -7.29854345e-01 -2.27313355e-01
  5.53282499e-01 -3.58174205e-01 -3.44386011e-01 -1.07170545e-01
 -1.08497000e+00  6.37095645e-02  1.61961108e-01 -5.28825581e-01
  3.64681870e-01 -2.38007214e-02 -7.59877935e-02  6.04178429e-01
  3.24617982e-01 -2.36994341e-01 -2.11581558e-01  2.79511046e-02
  1.88888833e-02 -1.96095124e-01  4.90515709e-01 -1.44076884e-01]","['sku0434', 'sku1123', 'sku0857', 'sku0163', 'sku0254']",sku0344
Office Supplies,Art,"BIC Brite Liner Highlighters, Chisel Tip","Office Supplies Art BIC Brite Liner Highlighters, Chisel Tip","[-0.22848834  0.18561555  0.10832332 -0.2375563   0.28010523 -0.04216556
 -0.08106443  0.01769656 -0.13006255  0.30365735 -0.09954336  0.02450501
 -0.00767889  0.4881171  -0.09834889  0.18095556  0.27329233 -0.16902211
  0.21103455 -0.35838953  0.06311122  0.03821345 -0.14827722 -0.24043287
  0.3147078   0.12108079 -0.19462289 -0.22597067 -0.16633278 -0.17895563
  0.09778822  0.18812476 -0.07694468  0.16613844  0.02300666  0.163458
 -0.01523    -0.12017544  0.13275    -0.55343544  0.14229812 -0.19786
 -0.21063697 -0.15229501 -0.09534177 -0.03579336  0.01581512 -0.29109466
  0.16906244  0.04622919  0.10716132  0.39804778 -0.10987644  0.373306
 -0.14976978 -0.9057237   0.27181655  0.1446931   0.7706798  -0.065276
  0.13337478  0.31842464 -0.19924298  0.38966247  0.05240345 -0.04521646
  0.24338715  0.11404701  0.1454922  -0.15505934 -0.13746445  0.00647789
  0.09389826 -0.07825933 -0.09159067 -0.13140112  0.11489032  0.09654244
 -0.24711996  0.0795799   0.08723489 -0.02564766 -0.26253748 -0.05867544
 -0.25734752 -0.10588871  0.6058245  -0.03136333  0.24839823  0.03635666
  0.01856922  0.14228998  0.43643966 -0.20972878 -0.23676088 -0.04164111
 -0.08487889 -0.20466425  0.08365668  0.01469267]","['sku0156', 'sku1185', 'sku1598', 'sku0185', 'sku0210']",sku0349
Office Supplies,Paper,Xerox 1881,Office Supplies Paper Xerox 1881,"[-2.4032301e-01 -1.5749998e-02  3.8382448e-03  7.1035251e-02
  2.6365525e-01 -4.6919000e-01  3.9322510e-02  3.2689050e-01
  1.6218650e-01  1.8251576e-01  8.5578002e-02 -2.5753164e-01
  1.5037404e-01  3.6818752e-01 -2.4232826e-01 -2.5726375e-01
  5.3191000e-01  7.0882753e-02  3.6146000e-01 -5.8367002e-01
 -4.1832257e-02  1.1245750e-01  1.6279506e-02  2.5738752e-01
 -2.1933001e-01 -4.5168701e-01  1.5933500e-01 -2.7030075e-01
 -4.6366751e-01 -1.5116750e-01  4.3068075e-01  3.9206249e-01
 -2.7006751e-01 -1.2753750e-01 -4.7155249e-01  3.3237749e-01
  7.6539993e-02 -7.3067248e-02  2.6609749e-01 -4.3206251e-01
 -8.7329999e-02 -4.4424748e-01 -3.5692251e-01 -3.4254000e-01
 -1.5167999e-01  3.9675489e-02 -1.6122748e-01 -3.0448997e-01
 -2.4209702e-01 -4.5844001e-01  2.9263049e-01 -1.7106251e-01
  5.2227750e-02  7.5650227e-01 -6.5029994e-02 -1.5150200e+00
 -3.8243026e-01 -4.7055002e-02  1.4239700e+00  1.1609003e-02
 -8.7408304e-02 -2.1245250e-01 -4.4393975e-01  3.6853150e-01
  1.8426001e-01 -2.7576250e-01  4.9641499e-01  2.9115748e-01
  5.0292748e-01  2.2194077e-01  3.8728803e-02  2.1218273e-01
  3.0972006e-02 -2.9950252e-01  2.2171150e-01  1.0124998e-01
  2.3267749e-01  3.2435751e-01 -1.0018024e+00  3.0188078e-01
  6.1925751e-01  1.0820501e-01 -4.6360075e-01  4.0998924e-01
 -1.0180351e+00 -4.4175327e-01  4.0242749e-01 -1.9083151e-01
  1.0234974e-03 -9.3357757e-02  4.1245997e-01 -4.1873757e-02
  2.8908527e-01  2.8423579e-02 -3.6909500e-01  9.9650174e-03
  3.1374598e-01 -6.7124993e-02  3.5218501e-01  2.9398325e-01]","['sku1801', 'sku0056', 'sku0063', 'sku1830', 'sku1530']",sku0351
Office Supplies,Binders,Acco Hanging Data Binders,Office Supplies Binders Acco Hanging Data Binders,"[-0.11146029  0.03009    -0.10209143 -0.41615418  0.40993172 -0.26933888
 -0.23014142  0.23388855  0.05342658  0.08238328  0.24483286 -0.0662713
  0.19963457  0.26098284  0.22883244  0.13071285  0.2652736   0.02862243
  0.3270171  -0.40918142 -0.23470841 -0.04031422  0.076315   -0.08035
 -0.18186717 -0.11974543  0.04690114 -0.13900714 -0.23751     0.11676514
  0.28839472 -0.23140714 -0.13967572  0.02294143 -0.0861843   0.26901498
  0.16948442  0.10952801  0.27386287 -0.25969258  0.05717429 -0.28691915
 -0.12343514 -0.12576272 -0.05302858 -0.04761114 -0.11785428 -0.20451283
 -0.08691073 -0.10729999  0.22729543 -0.28936288  0.08394714  0.65509146
  0.06174286 -1.0083187  -0.23455943  0.12362858  0.9924143   0.15940373
  0.13751428  0.09779428 -0.10519208  0.26641     0.22629714 -0.03442243
  0.39254856  0.03024901  0.26562756 -0.13008814  0.03245788  0.19571528
  0.10160471 -0.14222772  0.14653172  0.22498944  0.20055656 -0.02362286
 -0.47659284  0.27196044  0.25561142  0.02242143 -0.58720386  0.07189242
 -0.45853427 -0.16853057  0.35953572 -0.18700072  0.03512409 -0.04372429
  0.02787     0.10449959  0.24274302 -0.16840471  0.2570913  -0.09401413
  0.18639998 -0.07542144  0.27249     0.25415784]","['sku1168', 'sku0352', 'sku1775', 'sku0692', 'sku0990']",sku0352
Office Supplies,Binders,GBC DocuBind P400 Electric Binding System,Office Supplies Binders GBC DocuBind P400 Electric Binding System,"[-0.08281185 -0.01725714  0.23540172 -0.1528773   0.26128897 -0.39783484
 -0.10872857  0.42099285  0.04954373  0.068869   -0.01644458 -0.37131554
  0.04952629  0.21678226  0.16579843 -0.24710616  0.2501577   0.09415871
  0.43251354 -0.47786713 -0.06448129 -0.2761156   0.00587228  0.01627001
 -0.07601959 -0.22974229 -0.09377728 -0.05878428 -0.16338328  0.29326886
  0.38409     0.4558186  -0.14768286  0.06627715 -0.06853495  0.18312944
  0.17652856 -0.12076414  0.17308883 -0.19665357  0.10978571 -0.24276969
 -0.07437972 -0.32516    -0.02197571 -0.11661986 -0.129618   -0.19041742
 -0.20609401 -0.20225827 -0.09948687 -0.01917057  0.03590314  0.6143943
  0.09191429 -1.1630528  -0.04213328  0.01444113  1.2774442   0.21627358
  0.18701972 -0.12186428 -0.09293561  0.33779284  0.51396286 -0.005243
 -0.01707242  0.07718001  0.345521   -0.16055928  0.12562467 -0.10053128
  0.29720527 -0.22225     0.07539614 -0.03086     0.23772617 -0.03175457
 -0.68985     0.06474829  0.44346428 -0.09428714 -0.3897381   0.34928426
 -0.71334714  0.35927957  0.32788903 -0.12537085 -0.07267196 -0.08636542
  0.15387    -0.06153699 -0.11345271 -0.03807143  0.11578001  0.105924
  0.04948571 -0.3003607   0.56260145  0.08195044]","['sku0317', 'sku0262', 'sku0116', 'sku0492', 'sku0381']",sku0354
Furniture,Bookcases,Sauder Barrister Bookcases,Furniture Bookcases Sauder Barrister Bookcases,"[ 2.10568197e-02  1.53260782e-01  5.39505258e-02  1.74199581e-01
  9.47775915e-02 -3.00880019e-02 -1.39852807e-01 -3.32562998e-02
  3.00924003e-01  3.92955989e-01  2.01297998e-01 -4.58828390e-01
 -1.25671979e-02  7.55672038e-01 -2.24654004e-01  1.92997992e-01
 -3.60493250e-02  2.32749790e-01  1.25128001e-01 -4.19122994e-01
 -2.29716986e-01  2.82356411e-01  3.97474766e-01 -6.27573967e-01
  6.67475998e-01 -4.71278012e-01 -2.43987992e-01 -4.39586014e-01
 -5.27850032e-01 -2.28410006e-01 -1.54720202e-01 -9.09060091e-02
  1.09368004e-01 -5.79100028e-02 -2.69919604e-01  5.42917013e-01
  1.13599952e-02 -1.10139608e-01  4.83023971e-01 -2.03073591e-01
  2.37271219e-01  2.44860008e-01  2.76537001e-01 -9.44160074e-02
 -6.45802021e-02  4.89841122e-03  8.99931937e-02  2.11922809e-01
  2.71672010e-01 -7.97119960e-02  2.86383986e-01 -1.72329992e-01
  1.76299941e-02 -1.24095999e-01 -5.31885996e-02  5.63520081e-02
 -3.85246009e-01  8.47360492e-03  1.59063995e-01 -2.52708018e-01
  6.13993383e-04 -1.16320010e-02  1.38893992e-01  3.81203204e-01
 -3.43478024e-01 -3.35904598e-01  6.06959999e-01  3.35676193e-01
  1.24052003e-01 -2.62903571e-01  1.57052740e-01  3.18838000e-01
  5.86507976e-01 -1.05394006e-01 -4.04941976e-01  3.08199879e-02
 -1.72942013e-01  1.46339983e-01  7.00831935e-02 -3.26620042e-02
 -2.66473591e-01  1.29795000e-01  2.42860049e-01  2.29224205e-01
  4.32612181e-01 -4.98318017e-01 -1.81224003e-01 -3.81271988e-01
 -1.31536603e-01 -4.02926594e-01  2.20183998e-01  3.31840524e-03
  7.02200055e-01  4.92840037e-02  1.71867996e-01 -2.68207967e-01
  2.14443609e-01 -1.14635989e-01  4.30488586e-01 -1.93846613e-01]","['sku1181', 'sku0673', 'sku1646', 'sku0201', 'sku1648']",sku0355
Office Supplies,Envelopes,"#10 Gummed Flap White Envelopes, 100/Box","Office Supplies Envelopes #10 Gummed Flap White Envelopes, 100/Box","[-0.3133431   0.07729428  0.31458285 -0.28632125  0.17043243  0.03261286
 -0.1004843   0.10629773  0.17677927  0.23136756 -0.09377885 -0.17017029
  0.12373143  0.48494288  0.05017657  0.06715686 -0.01279915  0.11254584
  0.4453471  -1.0580701  -0.108607    0.01846557 -0.35041174 -0.36085415
  0.1732653   0.05631599  0.04288743 -0.11622015 -0.41768858 -0.42056283
  0.5833562   0.07810571  0.40951285  0.25799426 -0.16176955  0.3721457
  0.09938599 -0.04114086  0.05153314  0.15850373 -0.06980515 -0.70979434
 -0.04333486 -0.35809427  0.0139143  -0.055668   -0.18450144 -0.04172913
  0.06987796 -0.3541003   0.19247     0.11543143  0.22574155  0.58487284
 -0.30118147 -1.1612043  -0.24278586  0.10024129  1.2245786   0.15332088
  0.12903515  0.33038282 -0.03282514  0.28741688  0.40628713 -0.25438443
  0.2747614   0.25159273  0.2502257  -0.0896227   0.02625943 -0.06264786
 -0.05386857 -0.22285184  0.07230856  0.43981627  0.19310367  0.25434288
 -0.391508    0.22749786 -0.04376271  0.102328   -0.10984242 -0.03321487
 -0.7120686  -0.04145885  0.62161857  0.07559486 -0.29391733 -0.20599799
 -0.00936429  0.09896213  0.02353757 -0.1533027   0.07070571 -0.04481814
  0.2958314   0.01420285 -0.015487    0.17811885]","['sku0437', 'sku0375', 'sku0634', 'sku1037', 'sku0154']",sku0356
