Category,Sub-Category,Product Name,top_similar_products,sku
Office Supplies,Binders,GBC Wire Binding Strips,"['sku0920', 'sku1015', 'sku1726', 'sku0583', 'sku0492']",sku0138
Office Supplies,Supplies,Fiskars Softgrip Scissors,"['sku0135', 'sku0598', 'sku1266', 'sku1558', 'sku0504']",sku0139
Office Supplies,Art,Newell 343,"['sku0564', 'sku1245', 'sku1621', 'sku0687', 'sku0672']",sku0142
Office Supplies,Envelopes,Convenience Packs of Business Envelopes,"['sku0154', 'sku1234', 'sku0437', 'sku0440', 'sku1345']",sku0143
Office Supplies,Paper,Xerox 1911,"['sku1801', 'sku0056', 'sku0063', 'sku1830', 'sku1530']",sku0144
Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,"['sku0078', 'sku0842', 'sku1097', 'sku1713', 'sku0567']",sku0145
Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock","['sku1480', 'sku0794', 'sku0485', 'sku0569', 'sku1253']",sku0147
Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,"['sku1599', 'sku0600', 'sku0620', 'sku0235', 'sku1240']",sku0148
Technology,Phones,Anker Astro 15000mAh USB Portable Charger,"['sku1340', 'sku1420', 'sku1082', 'sku0127', 'sku0162']",sku0149
Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,"['sku0445', 'sku1078', 'sku0819', 'sku0920', 'sku0304']",sku0151
Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,"['sku1347', 'sku0851', 'sku0651', 'sku1417', 'sku0010']",sku0152
Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,"['sku1599', 'sku0040', 'sku1501', 'sku0983', 'sku0478']",sku0153
Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,"['sku0034', 'sku0418', 'sku0566', 'sku1385', 'sku1067']",sku0154
Office Supplies,Paper,Xerox 1883,"['sku1801', 'sku0056', 'sku0063', 'sku1830', 'sku1530']",sku0155
Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black","['sku0081', 'sku0118', 'sku0768', 'sku1023', 'sku0422']",sku0156
Office Supplies,Art,Newell 311,"['sku0564', 'sku1245', 'sku1621', 'sku0687', 'sku0672']",sku0157
Office Supplies,Labels,Avery 519,"['sku0050', 'sku0256', 'sku0640', 'sku0287', 'sku0689']",sku0159
Technology,Phones,Avaya 5420 Digital phone,"['sku0151', 'sku1755', 'sku0349', 'sku1178', 'sku0911']",sku0160
Office Supplies,Paper,Xerox 1920,"['sku1801', 'sku0056', 'sku0063', 'sku1830', 'sku1530']",sku0161
Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,"['sku1057', 'sku0807', 'sku1038', 'sku1193', 'sku0101']",sku0162
Office Supplies,Envelopes,Staple envelope,"['sku0437', 'sku0556', 'sku0137', 'sku0754', 'sku0319']",sku0163
Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,"['sku0715', 'sku0045', 'sku1488', 'sku1076', 'sku0545']",sku0164
Office Supplies,Art,BIC Brite Liner Highlighters,"['sku1185', 'sku0314', 'sku0360', 'sku1115', 'sku1652']",sku0165
Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,"['sku0389', 'sku0240', 'sku0293', 'sku1376', 'sku1638']",sku0166
Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,"['sku1809', 'sku0419', 'sku0237', 'sku0073', 'sku0083']",sku0167
Furniture,Chairs,SAFCO Arco Folding Chair,"['sku0372', 'sku0169', 'sku0469', 'sku0476', 'sku0379']",sku0168
Office Supplies,Art,Sanford Liquid Accent Highlighters,"['sku0183', 'sku0132', 'sku0171', 'sku1115', 'sku0402']",sku0169
Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,"['sku0166', 'sku1270', 'sku0723', 'sku0168', 'sku0409']",sku0170
Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,"['sku1066', 'sku1763', 'sku0258', 'sku1501', 'sku1240']",sku0171
Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”","['sku0321', 'sku0671', 'sku0228', 'sku0563', 'sku1239']",sku0172
Office Supplies,Paper,Xerox 1913,"['sku1801', 'sku0056', 'sku0063', 'sku1830', 'sku1530']",sku0173
Furniture,Chairs,"Global Value Steno Chair, Gray","['sku0065', 'sku0269', 'sku0213', 'sku0039', 'sku0024']",sku0174
Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,"['sku0166', 'sku0161', 'sku0723', 'sku0168', 'sku0023']",sku0175
Office Supplies,Labels,Avery 51,"['sku0050', 'sku0256', 'sku0640', 'sku0287', 'sku0689']",sku0176
Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection","['sku1270', 'sku0166', 'sku0723', 'sku0161', 'sku0409']",sku0177
Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton","['sku0084', 'sku0002', 'sku0476', 'sku0372', 'sku1210']",sku0178
Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,"['sku1568', 'sku0414', 'sku1266', 'sku1687', 'sku0504']",sku0179
Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count","['sku0132', 'sku1115', 'sku0183', 'sku0402', 'sku1503']",sku0180
Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black","['sku0179', 'sku0472', 'sku0422', 'sku0947', 'sku0186']",sku0181
Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,"['sku0047', 'sku0464', 'sku0026', 'sku0203', 'sku1766']",sku0182
Technology,Phones,AT&T TR1909W,"['sku0174', 'sku0303', 'sku1397', 'sku0054', 'sku0289']",sku0183
Technology,Phones,Nokia Lumia 521 (T-Mobile),"['sku1432', 'sku0175', 'sku0522', 'sku0196', 'sku0041']",sku0184
Technology,Accessories,HP Standard 104 key PS/2 Keyboard,"['sku1193', 'sku0334', 'sku0633', 'sku0769', 'sku0344']",sku0185
Office Supplies,Binders,Avery Poly Binder Pockets,"['sku1460', 'sku1536', 'sku0555', 'sku0447', 'sku0797']",sku0186
Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,"['sku0178', 'sku0358', 'sku0553', 'sku1766', 'sku0203']",sku0187
Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray","['sku0172', 'sku1561', 'sku0768', 'sku0836', 'sku0055']",sku0188
Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors","['sku0788', 'sku0038', 'sku1261', 'sku0922', 'sku0072']",sku0190
Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,"['sku0048', 'sku0864', 'sku1659', 'sku0404', 'sku0120']",sku0191
Office Supplies,Paper,Xerox 205,"['sku1801', 'sku0056', 'sku0063', 'sku1830', 'sku1530']",sku0192
Office Supplies,Art,4009 Highlighters by Sanford,"['sku1652', 'sku0132', 'sku1115', 'sku0171', 'sku1030']",sku0194
Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set","['sku0132', 'sku1044', 'sku1575', 'sku0402', 'sku0426']",sku0196
Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box","['sku1528', 'sku1598', 'sku0210', 'sku0184', 'sku1719']",sku0197
Office Supplies,Storage,Decoflex Hanging Personal Folder File,"['sku0186', 'sku0422', 'sku0232', 'sku1023', 'sku0762']",sku0198
Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue","['sku0968', 'sku0062', 'sku0637', 'sku0537', 'sku0032']",sku0199
Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page","['sku0728', 'sku0231', 'sku1060', 'sku1091', 'sku1273']",sku0200
Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes,"['sku0034', 'sku0566', 'sku0418', 'sku0619', 'sku1385']",sku0201
