state,city,year,month,day,category,sales
California,Los Angeles,2016,9,10,Office Supplies,1
California,Los Angeles,2016,9,2,Furniture,2
California,Los Angeles,2016,9,2,Office Supplies,3
California,Los Angeles,2016,9,2,Technology,1
California,Los Angeles,2016,11,6,Furniture,2
California,Los Angeles,2016,11,7,Office Supplies,4
California,Los Angeles,2016,11,24,Technology,3
California,Los Angeles,2016,11,24,Furniture,2
California,Los Angeles,2016,11,15,Technology,1
California,Los Angeles,2016,11,15,Office Supplies,2
California,Los Angeles,2016,11,3,Furniture,1
California,Los Angeles,2016,11,3,Technology,1
California,Los Angeles,2016,11,3,Office Supplies,9
California,Los Angeles,2016,11,18,Technology,1
California,Los Angeles,2016,11,18,Office Supplies,1
California,Los Angeles,2016,11,10,Office Supplies,6
California,Los Angeles,2016,11,10,Furniture,1
California,Los Angeles,2016,11,20,Office Supplies,1
California,Los Angeles,2016,11,14,Office Supplies,1
California,Los Angeles,2016,11,4,Office Supplies,3
California,Los Angeles,2016,11,25,Furniture,1
California,Los Angeles,2016,11,21,Office Supplies,1
California,Los Angeles,2016,11,26,Furniture,2
California,Los Angeles,2016,11,26,Office Supplies,2
California,Los Angeles,2016,5,11,Office Supplies,1
California,Los Angeles,2016,5,21,Technology,2
California,Los Angeles,2016,5,5,Office Supplies,1
California,Los Angeles,2016,5,5,Technology,1
California,Los Angeles,2016,5,28,Office Supplies,3
California,Los Angeles,2016,5,28,Technology,2
California,Los Angeles,2016,5,16,Office Supplies,2
California,Los Angeles,2016,5,16,Furniture,1
California,Los Angeles,2016,5,8,Office Supplies,1
California,Los Angeles,2016,5,9,Office Supplies,1
California,Los Angeles,2016,5,30,Office Supplies,1
California,Los Angeles,2016,5,30,Furniture,1
California,Los Angeles,2016,5,19,Office Supplies,1
California,Los Angeles,2016,5,27,Office Supplies,1
California,Los Angeles,2016,5,22,Technology,1
California,Los Angeles,2016,10,28,Office Supplies,1
California,Los Angeles,2016,10,28,Technology,1
California,Los Angeles,2016,10,7,Office Supplies,2
California,Los Angeles,2016,10,31,Office Supplies,1
California,Los Angeles,2016,10,8,Office Supplies,1
California,Los Angeles,2016,10,24,Technology,2
California,Los Angeles,2016,10,29,Office Supplies,1
California,Los Angeles,2016,10,20,Office Supplies,1
California,Los Angeles,2016,10,21,Furniture,2
California,Los Angeles,2016,10,21,Office Supplies,2
California,Los Angeles,2016,4,14,Furniture,1
California,Los Angeles,2016,4,8,Office Supplies,3
California,Los Angeles,2016,4,8,Furniture,1
California,Los Angeles,2016,4,19,Technology,1
California,Los Angeles,2016,4,19,Office Supplies,5
California,Los Angeles,2016,4,28,Furniture,1
California,Los Angeles,2016,4,9,Furniture,1
California,Los Angeles,2016,4,12,Furniture,2
California,Los Angeles,2016,4,12,Office Supplies,3
California,Los Angeles,2016,2,13,Office Supplies,1
California,Los Angeles,2016,2,21,Technology,1
California,Los Angeles,2016,2,21,Office Supplies,3
California,Los Angeles,2016,2,22,Technology,2
California,Los Angeles,2016,2,22,Office Supplies,1
California,Los Angeles,2016,2,1,Office Supplies,1
California,Los Angeles,2016,2,7,Technology,1
California,Los Angeles,2016,2,4,Office Supplies,1
California,Los Angeles,2016,12,18,Office Supplies,2
California,Los Angeles,2016,12,18,Furniture,1
California,Los Angeles,2016,12,25,Technology,2
California,Los Angeles,2016,12,25,Office Supplies,1
California,Los Angeles,2016,12,26,Office Supplies,3
California,Los Angeles,2016,12,26,Technology,1
California,Los Angeles,2016,12,26,Furniture,2
California,Los Angeles,2016,12,29,Office Supplies,1
California,Los Angeles,2016,12,3,Technology,1
California,Los Angeles,2016,12,3,Furniture,1
California,Los Angeles,2016,12,3,Office Supplies,1
California,Los Angeles,2016,12,30,Office Supplies,2
California,Los Angeles,2016,12,15,Furniture,1
California,Los Angeles,2016,12,1,Office Supplies,1
California,Los Angeles,2016,12,6,Technology,2
California,Los Angeles,2016,12,6,Office Supplies,5
California,Los Angeles,2016,8,8,Furniture,1
California,Los Angeles,2016,8,8,Office Supplies,2
California,Los Angeles,2016,8,26,Office Supplies,1
California,Los Angeles,2016,8,2,Furniture,1
California,Los Angeles,2016,8,2,Technology,1
California,Los Angeles,2016,8,2,Office Supplies,1
California,Los Angeles,2016,8,14,Office Supplies,1
California,Los Angeles,2016,8,14,Technology,1
California,Los Angeles,2016,8,6,Technology,1
California,Los Angeles,2016,8,16,Furniture,1
California,Los Angeles,2016,8,30,Furniture,1
California,Los Angeles,2016,8,30,Technology,1
California,Los Angeles,2016,8,21,Office Supplies,3
California,Los Angeles,2016,8,21,Technology,3
California,Los Angeles,2016,8,21,Furniture,1
California,Los Angeles,2016,8,15,Furniture,1
California,Los Angeles,2016,8,15,Office Supplies,2
California,Los Angeles,2016,8,15,Technology,1
California,Los Angeles,2016,8,22,Office Supplies,1
California,Los Angeles,2016,3,10,Office Supplies,1
California,Los Angeles,2016,3,10,Technology,3
California,Los Angeles,2016,3,28,Office Supplies,2
California,Los Angeles,2016,3,12,Office Supplies,1
California,Los Angeles,2014,6,9,Furniture,2
California,Los Angeles,2014,6,9,Office Supplies,3
California,Los Angeles,2014,6,9,Technology,2
California,Los Angeles,2014,6,25,Furniture,1
California,Los Angeles,2014,6,13,Office Supplies,1
California,Los Angeles,2014,6,30,Office Supplies,1
California,Los Angeles,2014,6,18,Technology,1
California,Los Angeles,2014,8,5,Office Supplies,2
California,Los Angeles,2014,8,5,Furniture,1
California,Los Angeles,2014,8,26,Technology,1
California,Los Angeles,2014,8,25,Furniture,1
California,Los Angeles,2014,8,25,Technology,1
California,Los Angeles,2014,8,25,Office Supplies,2
California,Los Angeles,2014,8,23,Office Supplies,1
California,Los Angeles,2014,8,19,Furniture,1
California,Los Angeles,2014,8,19,Office Supplies,1
California,Los Angeles,2014,9,29,Furniture,1
California,Los Angeles,2014,9,29,Office Supplies,3
California,Los Angeles,2014,9,29,Technology,1
California,Los Angeles,2014,9,26,Furniture,1
California,Los Angeles,2014,9,20,Office Supplies,2
California,Los Angeles,2014,4,21,Office Supplies,1
California,Los Angeles,2014,4,26,Furniture,1
California,Los Angeles,2014,4,26,Office Supplies,3
California,Los Angeles,2014,4,18,Technology,1
California,Los Angeles,2014,4,18,Office Supplies,3
California,Los Angeles,2014,4,4,Office Supplies,1
California,Los Angeles,2014,4,6,Furniture,2
California,Los Angeles,2014,4,6,Office Supplies,4
California,Los Angeles,2014,4,6,Technology,1
California,Los Angeles,2014,4,20,Furniture,1
California,Los Angeles,2014,4,15,Office Supplies,1
California,Los Angeles,2014,4,15,Furniture,1
California,Los Angeles,2014,4,3,Office Supplies,1
California,Los Angeles,2014,4,3,Technology,2
California,Los Angeles,2014,12,27,Office Supplies,1
California,Los Angeles,2014,12,24,Office Supplies,3
California,Los Angeles,2014,12,24,Furniture,2
California,Los Angeles,2014,12,24,Technology,3
California,Los Angeles,2014,12,13,Office Supplies,1
California,Los Angeles,2014,12,16,Furniture,2
California,Los Angeles,2014,12,16,Technology,2
California,Los Angeles,2014,12,20,Office Supplies,4
California,Los Angeles,2014,12,6,Office Supplies,1
California,Los Angeles,2014,12,7,Office Supplies,1
California,Los Angeles,2014,12,5,Office Supplies,4
California,Los Angeles,2014,12,19,Office Supplies,2
California,Los Angeles,2014,12,19,Technology,2
California,Los Angeles,2014,7,12,Office Supplies,1
California,Los Angeles,2014,7,12,Technology,1
California,Los Angeles,2014,7,25,Office Supplies,2
California,Los Angeles,2014,7,5,Office Supplies,1
California,Los Angeles,2014,7,13,Furniture,1
California,Los Angeles,2014,7,9,Office Supplies,3
California,Los Angeles,2014,7,27,Office Supplies,1
California,Los Angeles,2014,7,22,Office Supplies,1
California,Los Angeles,2014,5,6,Office Supplies,3
California,Los Angeles,2014,5,26,Furniture,2
California,Los Angeles,2014,5,26,Technology,2
California,Los Angeles,2014,5,13,Furniture,1
California,Los Angeles,2014,5,13,Office Supplies,1
California,Los Angeles,2014,5,16,Furniture,1
California,Los Angeles,2014,11,23,Furniture,2
California,Los Angeles,2014,11,23,Office Supplies,1
California,Los Angeles,2014,11,23,Technology,1
California,Los Angeles,2014,11,12,Office Supplies,1
California,Los Angeles,2014,11,12,Furniture,1
California,Los Angeles,2014,11,22,Office Supplies,1
California,Los Angeles,2014,11,4,Technology,2
California,Los Angeles,2014,11,4,Furniture,1
California,Los Angeles,2014,11,4,Office Supplies,2
California,Los Angeles,2014,11,15,Furniture,1
California,Los Angeles,2014,11,15,Technology,1
California,Los Angeles,2014,11,15,Office Supplies,1
California,Los Angeles,2014,11,11,Office Supplies,3
California,Los Angeles,2014,11,11,Furniture,1
California,Los Angeles,2014,11,11,Technology,1
California,Los Angeles,2014,11,1,Office Supplies,2
California,Los Angeles,2014,11,5,Furniture,1
California,Los Angeles,2014,11,25,Technology,1
California,Los Angeles,2014,11,25,Furniture,1
California,Los Angeles,2014,11,25,Office Supplies,1
California,Los Angeles,2014,11,16,Technology,1
California,Los Angeles,2014,11,16,Furniture,1
California,Los Angeles,2014,11,16,Office Supplies,1
California,Los Angeles,2014,11,3,Office Supplies,1
California,Los Angeles,2014,10,19,Office Supplies,1
California,Los Angeles,2014,10,31,Office Supplies,7
California,Los Angeles,2014,10,31,Furniture,1
California,Los Angeles,2014,10,31,Technology,1
California,Los Angeles,2014,10,3,Furniture,2
California,Los Angeles,2014,10,28,Office Supplies,4
California,Los Angeles,2014,10,28,Furniture,1
California,Los Angeles,2014,3,23,Office Supplies,1
California,Los Angeles,2014,3,23,Technology,1
California,Los Angeles,2014,3,26,Technology,1
California,Los Angeles,2014,1,6,Office Supplies,1
California,Los Angeles,2014,1,20,Office Supplies,1
California,Los Angeles,2014,1,20,Furniture,1
California,Los Angeles,2014,2,20,Office Supplies,1
California,Los Angeles,2015,11,24,Technology,1
California,Los Angeles,2015,11,24,Office Supplies,8
California,Los Angeles,2015,11,24,Furniture,1
California,Los Angeles,2015,11,2,Furniture,1
California,Los Angeles,2015,11,7,Furniture,1
California,Los Angeles,2015,11,20,Office Supplies,1
California,Los Angeles,2015,11,3,Technology,2
California,Los Angeles,2015,11,3,Furniture,1
California,Los Angeles,2015,11,12,Office Supplies,1
California,Los Angeles,2015,11,27,Technology,1
California,Los Angeles,2015,11,27,Office Supplies,1
California,Los Angeles,2015,11,22,Office Supplies,3
California,Los Angeles,2015,9,1,Office Supplies,2
California,Los Angeles,2015,9,1,Technology,1
California,Los Angeles,2015,9,10,Office Supplies,1
California,Los Angeles,2015,9,10,Furniture,1
California,Los Angeles,2015,9,17,Office Supplies,1
California,Los Angeles,2015,9,14,Furniture,1
California,Los Angeles,2015,9,25,Office Supplies,1
California,Los Angeles,2015,9,21,Furniture,1
California,Los Angeles,2015,9,21,Office Supplies,1
California,Los Angeles,2015,9,18,Office Supplies,2
California,Los Angeles,2015,9,18,Furniture,1
California,Los Angeles,2015,9,24,Furniture,1
California,Los Angeles,2015,9,24,Office Supplies,1
California,Los Angeles,2015,9,19,Office Supplies,1
California,Los Angeles,2015,9,22,Office Supplies,1
California,Los Angeles,2015,9,28,Office Supplies,3
California,Los Angeles,2015,9,28,Technology,1
California,Los Angeles,2015,3,28,Technology,1
California,Los Angeles,2015,3,28,Office Supplies,1
California,Los Angeles,2015,3,19,Office Supplies,1
California,Los Angeles,2015,3,16,Furniture,1
California,Los Angeles,2015,3,23,Office Supplies,2
California,Los Angeles,2015,3,23,Technology,1
California,Los Angeles,2015,3,1,Technology,1
California,Los Angeles,2015,3,1,Furniture,1
California,Los Angeles,2015,12,7,Furniture,1
California,Los Angeles,2015,12,19,Technology,2
California,Los Angeles,2015,12,27,Office Supplies,2
California,Los Angeles,2015,12,13,Office Supplies,1
California,Los Angeles,2015,12,24,Office Supplies,2
California,Los Angeles,2015,12,4,Office Supplies,1
California,Los Angeles,2015,12,4,Technology,1
California,Los Angeles,2015,12,4,Furniture,1
California,Los Angeles,2015,12,30,Office Supplies,3
California,Los Angeles,2015,12,30,Technology,2
California,Los Angeles,2015,12,14,Furniture,2
California,Los Angeles,2015,12,14,Technology,1
California,Los Angeles,2015,12,14,Office Supplies,3
California,Los Angeles,2015,12,10,Office Supplies,1
California,Los Angeles,2015,12,8,Office Supplies,1
California,Los Angeles,2015,12,8,Technology,1
California,Los Angeles,2015,12,25,Office Supplies,1
California,Los Angeles,2015,12,12,Technology,1
California,Los Angeles,2015,12,12,Office Supplies,1
California,Los Angeles,2015,12,5,Technology,1
California,Los Angeles,2015,12,5,Office Supplies,1
California,Los Angeles,2015,12,20,Office Supplies,1
California,Los Angeles,2015,12,17,Office Supplies,3
California,Los Angeles,2015,12,17,Technology,1
California,Los Angeles,2015,8,31,Office Supplies,1
California,Los Angeles,2015,8,1,Office Supplies,1
California,Los Angeles,2015,8,1,Furniture,1
California,Los Angeles,2015,8,15,Office Supplies,1
California,Los Angeles,2015,8,25,Furniture,1
California,Los Angeles,2015,8,25,Office Supplies,1
California,Los Angeles,2015,8,27,Office Supplies,1
California,Los Angeles,2015,8,28,Office Supplies,3
California,Los Angeles,2015,8,28,Furniture,2
California,Los Angeles,2015,8,28,Technology,1
California,Los Angeles,2015,4,25,Office Supplies,2
California,Los Angeles,2015,4,18,Office Supplies,2
California,Los Angeles,2015,4,13,Furniture,2
California,Los Angeles,2015,4,13,Technology,2
California,Los Angeles,2015,4,13,Office Supplies,1
California,Los Angeles,2015,4,2,Technology,1
California,Los Angeles,2015,4,22,Technology,1
California,Los Angeles,2015,4,22,Office Supplies,1
California,Los Angeles,2015,4,11,Technology,1
California,Los Angeles,2015,4,11,Office Supplies,1
California,Los Angeles,2015,4,5,Furniture,1
California,Los Angeles,2015,6,13,Office Supplies,1
California,Los Angeles,2015,6,7,Office Supplies,1
California,Los Angeles,2015,6,25,Office Supplies,3
California,Los Angeles,2015,6,19,Furniture,1
California,Los Angeles,2015,6,19,Office Supplies,2
California,Los Angeles,2015,6,4,Technology,2
California,Los Angeles,2015,6,15,Technology,1
California,Los Angeles,2015,6,1,Office Supplies,1
California,Los Angeles,2015,5,1,Technology,1
California,Los Angeles,2015,5,14,Office Supplies,1
California,Los Angeles,2015,5,22,Office Supplies,2
California,Los Angeles,2015,5,22,Technology,2
California,Los Angeles,2015,5,18,Office Supplies,1
California,Los Angeles,2015,2,3,Furniture,1
California,Los Angeles,2015,2,15,Office Supplies,5
California,Los Angeles,2015,2,9,Furniture,1
California,Los Angeles,2015,2,18,Office Supplies,1
California,Los Angeles,2015,2,16,Office Supplies,2
California,Los Angeles,2015,1,30,Furniture,1
California,Los Angeles,2015,1,30,Technology,1
California,Los Angeles,2015,1,13,Office Supplies,1
California,Los Angeles,2015,1,13,Furniture,2
California,Los Angeles,2015,1,27,Furniture,1
California,Los Angeles,2015,10,3,Furniture,1
California,Los Angeles,2015,10,17,Office Supplies,1
California,Los Angeles,2015,10,2,Office Supplies,3
California,Los Angeles,2015,10,2,Technology,1
California,Los Angeles,2015,10,19,Office Supplies,1
California,Los Angeles,2015,10,19,Technology,1
California,Los Angeles,2015,10,20,Furniture,2
California,Los Angeles,2015,7,25,Technology,1
California,Los Angeles,2017,3,4,Office Supplies,2
California,Los Angeles,2017,3,2,Technology,2
California,Los Angeles,2017,3,2,Office Supplies,1
California,Los Angeles,2017,3,21,Office Supplies,3
California,Los Angeles,2017,3,3,Technology,1
California,Los Angeles,2017,3,3,Furniture,2
California,Los Angeles,2017,3,30,Office Supplies,1
California,Los Angeles,2017,3,30,Technology,1
California,Los Angeles,2017,3,31,Office Supplies,1
California,Los Angeles,2017,3,9,Technology,1
California,Los Angeles,2017,3,9,Office Supplies,1
California,Los Angeles,2017,3,18,Office Supplies,3
California,Los Angeles,2017,3,19,Office Supplies,1
California,Los Angeles,2017,3,16,Office Supplies,4
California,Los Angeles,2017,6,10,Office Supplies,2
California,Los Angeles,2017,6,10,Furniture,1
California,Los Angeles,2017,6,10,Technology,1
California,Los Angeles,2017,6,11,Office Supplies,2
California,Los Angeles,2017,6,29,Office Supplies,4
California,Los Angeles,2017,6,29,Technology,1
California,Los Angeles,2017,6,15,Office Supplies,1
California,Los Angeles,2017,6,15,Technology,1
California,Los Angeles,2017,6,18,Furniture,1
California,Los Angeles,2017,6,18,Office Supplies,1
California,Los Angeles,2017,6,3,Technology,1
California,Los Angeles,2017,6,3,Office Supplies,2
California,Los Angeles,2017,6,8,Furniture,1
California,Los Angeles,2017,6,8,Technology,1
California,Los Angeles,2017,6,30,Furniture,1
California,Los Angeles,2017,6,30,Office Supplies,1
California,Los Angeles,2017,12,21,Office Supplies,2
California,Los Angeles,2017,12,7,Technology,1
California,Los Angeles,2017,12,17,Office Supplies,1
California,Los Angeles,2017,12,29,Furniture,1
California,Los Angeles,2017,12,29,Technology,1
California,Los Angeles,2017,12,2,Office Supplies,5
California,Los Angeles,2017,12,18,Office Supplies,3
California,Los Angeles,2017,12,1,Office Supplies,2
California,Los Angeles,2017,12,9,Office Supplies,2
California,Los Angeles,2017,12,9,Furniture,1
California,Los Angeles,2017,12,24,Technology,1
California,Los Angeles,2017,12,24,Office Supplies,1
California,Los Angeles,2017,12,25,Office Supplies,2
California,Los Angeles,2017,12,16,Office Supplies,2
California,Los Angeles,2017,12,22,Technology,1
California,Los Angeles,2017,12,4,Office Supplies,1
California,Los Angeles,2017,9,7,Furniture,2
California,Los Angeles,2017,9,12,Furniture,1
California,Los Angeles,2017,9,12,Office Supplies,1
California,Los Angeles,2017,9,10,Furniture,1
California,Los Angeles,2017,9,10,Office Supplies,1
California,Los Angeles,2017,9,4,Furniture,1
California,Los Angeles,2017,9,4,Office Supplies,3
California,Los Angeles,2017,9,4,Technology,1
California,Los Angeles,2017,9,28,Furniture,1
California,Los Angeles,2017,9,9,Office Supplies,3
California,Los Angeles,2017,9,9,Furniture,1
California,Los Angeles,2017,9,9,Technology,1
California,Los Angeles,2017,9,15,Office Supplies,1
California,Los Angeles,2017,9,15,Technology,1
California,Los Angeles,2017,9,15,Furniture,1
California,Los Angeles,2017,9,24,Technology,2
California,Los Angeles,2017,9,14,Office Supplies,1
California,Los Angeles,2017,9,19,Technology,1
California,Los Angeles,2017,9,19,Office Supplies,2
California,Los Angeles,2017,9,21,Office Supplies,1
California,Los Angeles,2017,9,2,Office Supplies,3
California,Los Angeles,2017,9,2,Furniture,2
California,Los Angeles,2017,9,29,Office Supplies,1
California,Los Angeles,2017,9,30,Technology,1
California,Los Angeles,2017,9,23,Office Supplies,2
California,Los Angeles,2017,9,23,Furniture,1
California,Los Angeles,2017,2,26,Office Supplies,3
California,Los Angeles,2017,2,26,Technology,1
California,Los Angeles,2017,2,26,Furniture,1
California,Los Angeles,2017,2,23,Office Supplies,1
California,Los Angeles,2017,2,19,Office Supplies,1
California,Los Angeles,2017,2,19,Furniture,1
California,Los Angeles,2017,2,2,Furniture,1
California,Los Angeles,2017,2,2,Office Supplies,2
California,Los Angeles,2017,2,18,Technology,2
California,Los Angeles,2017,2,18,Office Supplies,1
California,Los Angeles,2017,2,9,Furniture,1
California,Los Angeles,2017,2,9,Office Supplies,1
California,Los Angeles,2017,11,6,Office Supplies,2
California,Los Angeles,2017,11,6,Furniture,1
California,Los Angeles,2017,11,11,Office Supplies,3
California,Los Angeles,2017,11,11,Furniture,1
California,Los Angeles,2017,11,19,Office Supplies,1
California,Los Angeles,2017,11,19,Furniture,1
California,Los Angeles,2017,11,12,Office Supplies,2
California,Los Angeles,2017,11,27,Office Supplies,1
California,Los Angeles,2017,11,27,Furniture,1
California,Los Angeles,2017,11,27,Technology,1
California,Los Angeles,2017,11,2,Office Supplies,1
California,Los Angeles,2017,11,10,Furniture,1
California,Los Angeles,2017,11,16,Furniture,2
California,Los Angeles,2017,11,14,Office Supplies,1
California,Los Angeles,2017,11,24,Furniture,2
California,Los Angeles,2017,4,2,Furniture,1
California,Los Angeles,2017,4,27,Office Supplies,3
California,Los Angeles,2017,4,25,Office Supplies,3
California,Los Angeles,2017,4,25,Furniture,1
California,Los Angeles,2017,4,15,Office Supplies,1
California,Los Angeles,2017,4,30,Office Supplies,2
California,Los Angeles,2017,4,17,Office Supplies,4
California,Los Angeles,2017,4,17,Technology,1
California,Los Angeles,2017,4,17,Furniture,1
California,Los Angeles,2017,7,11,Office Supplies,2
California,Los Angeles,2017,7,11,Technology,1
California,Los Angeles,2017,7,17,Technology,1
California,Los Angeles,2017,7,3,Office Supplies,1
California,Los Angeles,2017,7,6,Furniture,1
California,Los Angeles,2017,7,26,Technology,1
California,Los Angeles,2017,7,26,Furniture,1
California,Los Angeles,2017,7,7,Office Supplies,1
California,Los Angeles,2017,7,23,Office Supplies,2
California,Los Angeles,2017,1,20,Technology,1
California,Los Angeles,2017,1,1,Furniture,1
California,Los Angeles,2017,1,15,Office Supplies,1
California,Los Angeles,2017,1,16,Furniture,2
California,Los Angeles,2017,1,14,Office Supplies,1
California,Los Angeles,2017,1,2,Technology,1
California,Los Angeles,2017,10,7,Technology,3
California,Los Angeles,2017,10,15,Furniture,1
California,Los Angeles,2017,10,15,Office Supplies,1
California,Los Angeles,2017,10,2,Office Supplies,2
California,Los Angeles,2017,10,9,Office Supplies,1
California,Los Angeles,2017,10,12,Technology,1
California,Los Angeles,2017,10,12,Office Supplies,1
California,Los Angeles,2017,10,27,Furniture,1
California,Los Angeles,2017,10,27,Technology,1
California,Los Angeles,2017,5,8,Technology,1
California,Los Angeles,2017,5,3,Office Supplies,2
California,Los Angeles,2017,5,23,Furniture,1
California,Los Angeles,2017,5,7,Technology,1
